official_id,match_status,nbra_name,name_source,jersey_num,years_experience,college,hometown,birth_date,bio_url,headshot_url,extra_fields
ray-acosta,auto,Ray Acosta,link-text,54,9th season,University of Central Florida '07,,"December 12, 1983 (Elizabeth, N.J.)",https://www.nbra.net/nba-officials/referee-biographies/ray-acosta/,https://www.nbra.net/wp-content/uploads/2018/01/Ray-Acosta-scaled.jpg,"{""resides"": ""Lake Worth, Fla."", ""hs"": ""Lake Worth (Lake Worth, Fla.)"", ""favorite tv show"": ""The Sopranos"", ""favorite movie"": ""Scarface"", ""favorite musician"": ""Michael Jackson"", ""favorite book"": ""Rich Dad Poor Dad"", ""favorite meal"": ""Anything Italian"", ""favorite app"": ""Netflix"", ""would most like to visit"": ""Maldives"", ""bucket list"": ""Be in shark tank surrounded by great white sharks in Australia"", ""hidden talent"": ""Dancing""}"
brandon-adair,auto,Brandon Adair,link-text,67,8th season,Virginia Wesleyan University,,"September 14, 1985 (Norfolk, Va.)",https://www.nbra.net/nba-officials/referee-biographies/brandon-adair/,https://www.nbra.net/wp-content/uploads/2018/10/Brandon-Adair-scaled.jpg,"{""resides"": ""Virginia Beach, Va."", ""high school"": ""Princess Anne (Virginia Beach, Va.)"", ""favorite tv show"": ""The Fresh Prince of Bel-Air"", ""favorite movie"": ""The Pursuit of Happiness"", ""favorite musician"": ""Charlie Wilson"", ""favorite book"": ""David Baldacci books"", ""favorite meal"": ""Surf and Turf"", ""favorite app"": ""TripCase"", ""would most like to visit"": ""Rome"", ""bucket list"": ""Sky Diving""}"
brent-barnaky,auto,Brent Barnaky,link-text,36,16th season,University of Central Florida '97; Shepard Broad College of Law '01,,"May 30, 1975 (Hamilton, Ohio)",https://www.nbra.net/nba-officials/referee-biographies/brent-barnaky/,https://www.nbra.net/wp-content/uploads/2016/05/Brent-Barnaky-scaled.jpg,"{""resides"": ""Clearwater, Fla."", ""hs"": ""Clearwater  (Clearwater, Fla.)"", ""favorite tv show"": ""Ozark"", ""favorite movie"": ""For Love of the Game"", ""favorite musician"": ""Chris Botti"", ""favorite book"": ""Ego Is the Enemy"", ""favorite meal"": ""Chicken Parmesan"", ""favorite app"": ""FaceTime"", ""would most like to visit"": ""Italy"", ""bucket list"": ""Great Barrier Reef Scuba Dive""}"
curtis-blair,auto,Curtis Blair,link-text,74,18th season,University of Richmond ‘92,,"September 24, 1970 (Roanoke, Va.)",https://www.nbra.net/nba-officials/referee-biographies/courtney-kirkland-2/,https://www.nbra.net/wp-content/uploads/2016/05/Curtis-Blair-scaled.jpg,"{""resides"": ""Richmond, Va."", ""high school"": ""Patrick Henry (Roanoke, Va.)"", ""favorite tv show"": ""Dexter"", ""favorite movie"": ""Grease"", ""favorite musician"": ""K-Ci & JoJo"", ""favorite meal"": ""Lamb Curry"", ""would most like to visit"": ""Brazil"", ""hidden talent"": ""Tennis""}"
tony-brothers,auto,Tony Brothers,link-text,25,32nd season,Old Dominion University ’86,,"September 14, 1964 (Norfolk, Va.)",https://www.nbra.net/nba-officials/referee-biographies/tony-brothers/,https://www.nbra.net/wp-content/uploads/2016/05/Tony-Brothers-scaled.jpg,"{""resides"": ""Smithfield, Va."", ""high school"": ""Booker T. Washington (Norfolk, Va.)"", ""favorite tv show"": ""24"", ""favorite movie"": ""Claudine"", ""favorite musician"": ""Earth, Wind & Fire"", ""favorite book"": ""The Bible"", ""favorite meal"": ""Fried Croakers"", ""favorite app"": ""Spotify"", ""would most like to visit"": ""Israel"", ""hidden talent"": ""Cooking""}"
nick-buchert,auto,Nick Buchert,link-text,3,16th season,University of Phoenix,,"April 17, 1983 (Orlando, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/nick-buchert/,https://www.nbra.net/wp-content/uploads/2016/05/Nick-Buchert-scaled-e1704057641423.jpg,"{""resides"": ""Highland Park, Ill."", ""hs"": ""University (Orlando, Fla.)"", ""favorite tv show"": ""Game of Thrones and Walking Dead"", ""favorite movie"": ""Gladiator"", ""favorite musician"": ""David Gray"", ""favorite book"": ""October Sky"", ""favorite meal"": ""Steak"", ""favorite app"": ""Bandsintown"", ""would most like to visit"": ""Rome"", ""bucket list"": ""Attend Super Bowl""}"
john-butler,auto,John Butler,link-text,30,7th Season,Vanguard University,,"August 20, 1986 (Biloxi, Miss.)",https://www.nbra.net/nba-officials/referee-biographies/john-butler/,https://www.nbra.net/wp-content/uploads/2019/10/John-Butler-scaled.jpg,"{""resides"": ""La Mesa, Calif."", ""high school"": ""San Diego (San Diego, Calif)"", ""favorite tv show"": ""Suits"", ""favorite movie"": ""Do the Right Thing"", ""favorite musician"": ""Jay-Z"", ""favorite book"": ""The Four Agreements"", ""favorite meal"": ""Red Beans and Rice"", ""favorite app"": ""The Bible"", ""would most like to visit"": ""Italy and Greece""}"
james-capers,auto,James Capers,link-text,19,31st season,Northern Illinois University ’84,,"November 8, 1961 (Chicago, Ill.)",https://www.nbra.net/nba-officials/referee-biographies/james-capers/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0298-e1667320970792.jpg,"{""resides"": ""Chicago, Ill."", ""high school"": ""Hales Franciscan (Chicago, Ill.)"", ""favorite tv show"": ""Black-ish"", ""favorite movie"": ""Malcom X"", ""favorite musician"": ""Jill Scott"", ""favorite book"": ""The Shack"", ""favorite meal"": ""Lobster roll on Martha's Vineyard"", ""favorite app"": ""Pandora"", ""bucket list"": ""Attend English Premier League soccer match"", ""hidden talent"": ""Bid Whist""}"
derrick-collins,auto,Derrick Collins,link-text,11,25th season,Xavier University of Louisiana ’88,,"July 15, 1965 (New Orleans, La.)",https://www.nbra.net/nba-officials/referee-biographies/derrick-collins/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0220-e1667319977721.jpg,"{""resides"": ""Sugar Land, Texas"", ""high school"": ""Brother Martin (New Orleans, La.)"", ""favorite tv show"": ""Martin"", ""favorite movie"": ""Glory"", ""favorite musician"": ""Bob Marley"", ""favorite book"": ""The Bible"", ""favorite meal"": ""Gumbo"", ""would most like to visit"": ""Africa"", ""bucket list"": ""Fly an Airplane""}"
john-conley,auto,John Conley,link-text,79,3rd Season,Central Florida '15,,"October 1,1989 (Orlando, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/john-conley/,https://www.nbra.net/wp-content/uploads/2022/03/20220919_RPSM_SFR_0202-e1667319912230.jpg,"{""resides"": ""Orlando, Fla."", ""high school"": ""Lake Highland Prep (Orlando, Fla.)"", ""favorite tv show"": ""Even Stevens"", ""favorite musician"": ""Michael Jackson"", ""favorite book"": ""Be the Pack Leader"", ""favorite meal"": ""Potatoes and Pasta"", ""favorite movie"": ""Dumb and Dumber"", ""would most like to visit"": ""Australia"", ""bucket list"": ""Skydive in Dubai"", ""hidden talent"": ""Dog training""}"
sean-corbin,auto,Sean Corbin,link-text,33,31st season,Coppin State University ’90,,"March 18, 1966 (Baltimore, Md.)",https://www.nbra.net/nba-officials/referee-biographies/sean-corbin/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0063-e1667315710823.jpg,"{""resides"": ""Windermere, Fla."", ""high school"": ""Towson Catholic (Towson, Md.)"", ""favorite tv show"": ""CSI: Miami"", ""favorite movie"": ""The Godfather and The Godfather II"", ""favorite musician"": ""Brian Culbertson"", ""favorite book"": ""Quiet Strength"", ""favorite meal"": ""Steak and Lobster"", ""favorite app"": ""News"", ""would most like to visit"": ""Johannesburg"", ""bucket list"": ""Drive cross country in RV"", ""hidden talent"": ""Cooking""}"
kevin-cutler,auto,Kevin Cutler,link-text,34,16th season,Cal State Long Beach ‘99; Cal State Dominguez Hills ‘05,,"August 8, 1968 (Los Angeles, Calif.)",https://www.nbra.net/nba-officials/referee-biographies/kevin-cutler/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0377-e1667419436763.jpg,"{""resides"": ""Lakewood, Calif."", ""hs"": ""Ganesha (Pomona, Calif.)"", ""favorite tv show"": ""Homicide: Life on the Street"", ""favorite musician"": ""Luther Vandross"", ""favorite book"": ""Uncomfortable Conversations with a Black Man"", ""favorite meal"": ""Chicken"", ""would most like to visit"": ""Africa"", ""bucket list"": ""Play 20 of the Top 100 U.S. golf courses"", ""hidden talent"": ""Playing the Trumpet""}"
mousa-dagher,auto,Mousa Dagher,link-text,28,8th season,Glendale Community College ’13,,"March 4, 1991 (Homs, Syria)",https://www.nbra.net/nba-officials/referee-biographies/mousa-dagher/,https://www.nbra.net/wp-content/uploads/2018/11/20220919_RPSM_SFR_0134-e1667319277920.jpg,"{""resides"": ""Las Vegas, Nev."", ""high school"": ""Burbank (Burbank, Calif.)"", ""favorite tv show"": ""America's Got Talent"", ""favorite movie"": ""Coach Carter"", ""favorite musician"": ""Drake"", ""favorite book"": ""Rich Dad, Poor Dad"", ""favorite meal"": ""Sushi"", ""favorite app"": ""YouTube"", ""would most like to visit"": ""Thailand"", ""bucket list"": ""Explore Europe with wife"", ""hidden talent"": ""Playing the Piano""}"
eric-dalen,auto,Eric Dalen,link-text,37,18th season,University of Minnesota,,"July 12, 1972 (Minnetonka, Minn.)",https://www.nbra.net/nba-officials/referee-biographies/eric-dalen/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0122-e1667316226924.jpg,"{""resides"": ""Cincinnati, Ohio"", ""high school"": ""Minnetonka (Minnetonka, Minn.)"", ""favorite tv show"": ""NCIS"", ""favorite movie"": ""We Were Soldiers"", ""favorite musician"": ""Zac Brown"", ""favorite meal"": ""Chili"", ""favorite app"": ""Netflix"", ""would most like to visit"": ""Cruise around the world"", ""bucket list"": ""Take a ride in a fighter jet""}"
marc-davis,auto,Marc Davis,link-text,8,28th season,U.S. Naval Academy,,"December 13, 1967 (Chicago, Ill.)",https://www.nbra.net/nba-officials/referee-biographies/marc-davis/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0165-e1667319416839.jpg,"{""resides"": ""Chicago, Ill."", ""hs"": ""St. Ignatius Prep. (Chicago, Ill.)"", ""favorite tv show"": ""The Wire"", ""favorite movie"": ""Glory"", ""favorite musician"": ""John Coltrane"", ""favorite book"": ""Lonesome Dove"", ""favorite meal"": ""Pancakes"", ""favorite app"": ""Cisco AnyConnect"", ""would most like to visit"": ""Venice"", ""bucket list"": ""Fly a helicopter along the Chicago River""}"
jb-derosa,auto,JB DeRosa,link-text,22,9th season,Malone University '13,,"April 14, 1991 (Paducah, Ky.)",https://www.nbra.net/nba-officials/referee-biographies/jb-derosa/,https://www.nbra.net/wp-content/uploads/2018/01/20220919_RPSM_SFR_0357-e1667417455496.jpg,"{""resides"": ""Canton, Ohio"", ""high school"": ""Glen Oak (Canton, Ohio)"", ""favorite tv show"": ""The Big Bang Theory"", ""favorite movie"": ""Kingsman Series"", ""favorite musician"": ""Kenny Chesney"", ""favorite meal"": ""Salmon and Risotto"", ""would most like to visit"": ""Jost Van Dyke in British Virgin Islands"", ""bucket list"": ""Play golf at Pebble Beach"", ""hidden talent"": ""Cooking""}"
mitchell-ervin,auto,Mitchell Ervin,link-text,27,11th season,University of New Orleans '02,,"November 20, 1979 (New Orleans, La.)",https://www.nbra.net/nba-officials/referee-biographies/mitchell-ervin/,https://www.nbra.net/wp-content/uploads/2016/10/20220919_RPSM_SFR_0504-e1667419662462.jpg,"{""resides"": ""New Orleans, La."", ""hs"": ""Eleanor McMain (New Orleans, La.)"", ""favorite tv show"": ""Power"", ""favorite movie"": ""Coming to America"", ""favorite musician"": ""Drake"", ""favorite book"": ""Between the World and Me"", ""favorite meal"": ""Chargrilled Oysters"", ""favorite app"": ""TikTok"", ""would most like to visit"": ""Dubai"", ""bucket list"": ""Sky Diving""}"
che-flores,auto,Che Flores,link-text,91,4th season,Cal State Northridge ’03,,"July 18, 1979 (Los Angeles, Calif.)",https://www.nbra.net/nba-officials/referee-biographies/cheryl-flores/,https://www.nbra.net/wp-content/uploads/2022/10/20220919_RPSM_SFR_0620-e1666107104365.jpg,"{""resides"": ""Los Angeles, Calif."", ""hs"": ""Bellarmine-Jefferson (Burbank, Calif.)"", ""favorite tv show"": ""Game of Thrones"", ""favorite movie"": ""Pee-wee's Big Adventure"", ""favorite musician"": ""James Blake"", ""favorite book"": ""The Mindful Athlete"", ""favorite meal"": ""Cherry pie"", ""favorite app"": ""Ten Percent Happier"", ""would most like to visit"": ""Outer space"", ""bucket list"": ""Learn to play piano""}"
tyler-ford,auto,Tyler Ford,link-text,39,11th season,Ball State University '07; M.A. '09,,"June 8, 1985 (Lima, Ohio)",https://www.nbra.net/nba-officials/referee-biographies/tyler-ford/,https://www.nbra.net/wp-content/uploads/2016/10/20220919_RPSM_SFR_0573-e1667421290562.jpg,"{""resides"": ""Lafayette, Ind."", ""high school"": ""Allen East (Lafayette, Ohio)"", ""favorite tv show"": ""Yellowstone"", ""favorite movie"": ""Remember the Titans"", ""favorite musician"": ""Old Dominion"", ""favorite book"": ""Power of a Positive Team"", ""favorite meal"": ""Steak"", ""favorite app"": ""Netflix"", ""would most like to visit"": ""Ireland"", ""bucket list"": ""Play golf at Augusta National""}"
brian-forte,auto,Brian Forte,link-text,45,19th season,Furman University ‘99,,"August 18, 1975 (Fairfax, Va.)",https://www.nbra.net/nba-officials/referee-biographies/brian-forte/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0560-e1667420397533.jpg,"{""resides"": ""Smyrna, Ga."", ""high school"": ""Westminster (Atlanta, Ga.)"", ""favorite tv show"": ""Breaking Bad"", ""favorite movie"": ""The Godfather Part II"", ""favorite book"": ""The Count of Monte Cristo"", ""favorite meal"": ""Sushi"", ""favorite app"": ""Netflix"", ""would most like to visit"": ""Spain""}"
scott-foster,auto,Scott Foster,link-text,48,32nd season,University of Maryland ’93,,"April 8, 1967 (Silver Spring, Md.)",https://www.nbra.net/nba-officials/referee-biographies/scott-foster/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0514-e1667419882615.jpg,"{""resides"": ""Woodbine, Md."", ""high school"": ""Magruder (Rockville, Md.)"", ""favorite tv show"": ""Shameless and Ozark"", ""favorite movie"": ""Braveheart"", ""favorite musician"": ""Michael Franti & Spearhead"", ""favorite book"": ""Golf Is Not a Game of Perfect"", ""favorite meal"": ""Maryland Blue Crabs and Corn on the Cob"", ""favorite app"": ""PGA Tour Live"", ""would most like to visit"": ""Italy"", ""bucket list"": ""Win gold at the U.S. Open Pickleball Championships"", ""hidden talent"": ""Body Surfing""}"
pat-fraher,auto,Pat Fraher,link-text,26,25th season,University of Minnesota ’97,,"January 13, 1974 (St. Paul, Minn.)",https://www.nbra.net/nba-officials/referee-biographies/pat-fraher/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0497-e1667419751900.jpg,"{""resides"": ""Eagan, Minn."", ""high school"": ""Hastings (Hastings, Minn.)"", ""favorite tv show"": ""Game of Thrones"", ""favorite movie"": ""Caddyshack"", ""favorite musician"": ""Billy Joel"", ""favorite book"": ""Be a Man"", ""favorite meal"": ""BBQ"", ""favorite app"": ""NBA (of course!)"", ""would most like to visit"": ""Italy"", ""bucket list"": ""Play golf at Augusta National and Pebble Beach"", ""hidden talent"": ""Sleeping anywhere""}"
jacyn-goble,auto,Jacyn Goble,link-text,68,8th season,Miami Dade Community College; Florida International University,,"February 22, 1981 (Miami, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/jacyn-goble/,https://www.nbra.net/wp-content/uploads/2017/10/20220919_RPSM_SFR_0539-e1667420025196.jpg,"{""resides"": ""Miami, Fla."", ""high school"": ""Coral Park Senior (Miami, Fla.)"", ""favorite tv show"": ""Power"", ""favorite movie"": ""The Godfather"", ""favorite musician"": ""Marc Anthony"", ""favorite book"": ""Pirates in Blue"", ""favorite meal"": ""Veal Parmigiana"", ""favorite app"": ""Netflix"", ""would most like to visit"": ""Tahiti"", ""bucket list"": ""Roll own cigar in Cuba""}"
john-goble,auto,John Goble,link-text,10,17th season,Florida International University '01,,"November 25, 1978 (Miami, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/john-goble/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0287-e1667320834644.jpg,"{""resides"": ""Miami, Fla."", ""high school"": ""Miami Senior (Miami, Fla.)"", ""favorite movie"": ""The Godfather"", ""favorite musician"": ""Enjoys hip-hop, salsa and reggae ton music"", ""favorite meal"": ""Skirt Steak, Black Beans and Rice, and Fried Plantains"", ""favorite app"": ""Amazon"", ""would most like to visit"": ""Austrailia"", ""hidden talent"": ""Cuban Coffee Barista""}"
jason-goldenberg,auto,Jason Goldenberg,link-text,35,7th season,University of Georgia '07,,"November 14, 1984 (Atlanta, Ga.)",https://www.nbra.net/nba-officials/referee-biographies/jason-goldenberg/,https://www.nbra.net/wp-content/uploads/2017/10/20220919_RPSM_SFR_0551-e1667420201799.jpg,"{""resides"": ""Atlanta, Ga."", ""high school"": ""Milton (Alpharetta, GA)"", ""favorite tv show"": ""Curb Your Enthusiasm"", ""favorite movie"": ""Tommy Boy"", ""favorite musician"": ""Red Hot Chili Peppers"", ""favorite book"": ""Ego Is the Enemy"", ""favorite meal"": ""Chicken Parmesan"", ""favorite app"": ""NBA"", ""would most like to visit"": ""Australia"", ""bucket list"": ""Sail around world in mega yacht""}"
nate-green,auto,Nate Green,link-text,65,5th season,Indiana State '05; MBA at Indiana State '12,,"December 2, 1977 (Des Moine, Iowa)",https://www.nbra.net/nba-officials/referee-biographies/nate-green/,https://www.nbra.net/wp-content/uploads/2019/10/20220919_RPSM_SFR_0231-e1667320033394.jpg,"{""resides"": ""Terre Haute, Ind."", ""high school"": ""Theodore Roosevelt (Des Moines, Iowa)"", ""favorite tv show"": ""The Wire"", ""favorite movie"": ""Coming to America"", ""favorite musician"": ""Syleena Johnson"", ""favorite book"": ""Lone Survivor"", ""favorite meal"": ""Tagliatelle Bolognese"", ""favorite app"": ""Netflix"", ""would most like to visit"": ""Africa""}"
david-guthrie,auto,David Guthrie,link-text,16,19th season,North Carolina State ’99,,"May 21, 1974 (Athens, Ga.)",https://www.nbra.net/nba-officials/referee-biographies/david-guthrie/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0463-e1667419185961.jpg,"{""resides"": ""Charlotte, N.C."", ""high school"": ""W.A. Berry (Birmingham, Ala.)"", ""favorite tv show"": ""The West Wing"", ""favorite movie"": ""The Shawshank Redemption"", ""favorite musician"": ""The Eagles"", ""favorite book"": ""The Match"", ""favorite meal"": ""Steak, Whipped Potatoes, and Broccoli"", ""favorite app"": ""PGA Tour"", ""would most like to visit"": ""Hawaii"", ""bucket list"": ""Play golf at Augusta National and Cypress Point"", ""hidden talent"": ""Hitting Fungoes""}"
lauren-holtkamp,override,Lauren Holtkamp-Sterling,link-text,7,10th season,Drury University ‘03; M.S. at Drury '04 MDV from Emory University '10,,"November 24, 1980 (Jefferson City, Mo.)",https://www.nbra.net/nba-officials/referee-biographies/lauren-holtkamp/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0129-e1667316602316.jpg,"{""resides"": ""Atlanta, Ga."", ""high school"": ""Jefferson City (Jefferson City, Mo.)"", ""favorite tv show"": ""Lovecraft Country"", ""favorite musician"": ""Florence and the Machine"", ""favorite book"": ""Needful Things"", ""favorite meal"": ""Breakfast"", ""favorite app"": ""Garmin Connect and Google"", ""would most like to visit"": ""Greece"", ""bucket list"": ""Travel Internationally"", ""hidden talent"": ""Mixed Media Art""}"
robert-hussey,auto,Robert Hussey,link-text,85,2nd season,University of Central Florida ’17,,"January 20, 1993 (Queens, N.Y.)",https://www.nbra.net/nba-officials/referee-biographies/robert-hussey/,https://www.nbra.net/wp-content/uploads/2022/10/20220919_RPSM_SFR_0350-e1666107490850.jpg,"{""resides"": ""Orlando, Fla."", ""hs"": ""Mount Dora Christian Academy (MountDora,Fla.)"", ""favorite tv show"": ""Chappelle’s Show"", ""favorite movie"": ""John Q and Marvel movies"", ""favorite musician"": ""J. Cole"", ""favorite book"": ""The Four Agreements"", ""favorite meal"": ""Ackee, yellow yam, green banana, dumplings and fried plantain"", ""favorite app"": ""ESPN"", ""would most like to visit"": ""Iceland""}"
intae-hwang,auto,Intae Hwang,link-text,96,1st Season,Busan University of Foreign Studies '06,,"August 10, 1979 (Masan, South Korea)",https://www.nbra.net/nba-officials/referee-biographies/intae-hwang/,https://www.nbra.net/wp-content/uploads/2023/10/Intae-Hwang-1.png,"{""high school"": ""Masan Joongang (Masan, South Korea)"", ""favorite movie"": ""Parasite"", ""favorite musician"": ""Yim Jae-beom"", ""favorite book"": ""Du bon usage de la lenteur"", ""favorite meal"": ""Korean BBQ"", ""favorite app"": ""NBA REPS""}"
simone-jelks,auto,Simone Jelks,link-text,81,4th Season,University of Southern California ’08 M.P.H. at Case Western Reserve University ’11 M.ED at Cleveland State University ’13,,"March 9, 1986 (Cleveland)",https://www.nbra.net/nba-officials/referee-biographies/simone-jelks/,https://www.nbra.net/wp-content/uploads/2021/03/Jelks-e1666711462561.jpg,"{""resides"": ""Cleveland, Ohio"", ""high school"": ""Charles F. Brush (Lyndhurst, Ohio)"", ""favorite tv show"": ""The Handmaid's Tale"", ""favorite movie"": ""Love & Basketball"", ""favorite musician"": ""Anita Baker"", ""favorite book"": ""The Bible"", ""favorite meal"": ""Collard Greens and Peach Cobbler"", ""favorite app"": ""Goodnotes"", ""would most like to visit"": ""Spain"", ""hidden talent"": ""Spoken Word Poetry""}"
